ASN,Betweenness-C,Closeness-C,Eigenvector-C,tier,Degree-C
64271,2.89118E-05,0.303072758,0.000645413,0,0.000122366
196796,3.25E-08,0.291920683,0.000202488,0,2.71924E-05
196963,0,0.278755813,0.000195466,0,2.71924E-05
197097,3.22E-09,0.275382559,0.000154103,0,2.71924E-05
197896,7.16E-08,0.275743909,0.000182486,0,4.07886E-05
198226,0,0.275440311,0.00018699,0,2.71924E-05
198643,4.62E-09,0.274875176,0.000145036,0,2.71924E-05
198784,3.25E-08,0.291920683,0.000202488,0,2.71924E-05
199395,2.12E-07,0.275297006,0.000135047,0,2.71924E-05
199593,0,0.274823821,0.000134863,0,1.35962E-05
199735,2.61E-09,0.275303189,0.000139092,0,2.71924E-05
199809,3.16E-09,0.274925522,0.000145162,0,2.71924E-05
200489,6.38E-09,0.27483101,0.000137542,0,2.71924E-05
200524,1.37E-06,0.274829983,0.000134874,0,2.71924E-05
201244,1.06E-07,0.274876203,0.000135503,0,2.71924E-05
202127,0,0.287394498,0.000229181,0,2.71924E-05
202150,8.88E-09,0.27538359,0.000144784,0,2.71924E-05
202234,3.25E-08,0.294605377,0.00035082,0,4.07886E-05
202674,1.05E-07,0.275047867,0.000136025,0,2.71924E-05
203456,0,0.274823821,0.000134863,0,1.35962E-05
203498,0,0.286635126,0.000283195,0,2.71924E-05
203746,1.47E-07,0.275560018,0.000146537,0,4.07886E-05
205978,2.94E-09,0.274960466,0.000163133,0,2.71924E-05
206845,3.22E-09,0.275382559,0.000154103,0,2.71924E-05
208357,2.73E-09,0.274947104,0.000145149,0,2.71924E-05
208461,0,0.274929632,0.000147607,0,2.71924E-05
209228,0,0.275403182,0.000168869,0,2.71924E-05
209476,4.42E-08,0.292188574,0.000249725,0,4.07886E-05
209511,0,0.274823821,0.000134863,0,1.35962E-05
209751,0,0.274823821,0.000134863,0,1.35962E-05
212199,0,0.274823821,0.000134863,0,1.35962E-05
212732,3.25E-08,0.291920683,0.000202488,0,2.71924E-05
212883,3.63E-08,0.292840051,0.000375967,0,5.43848E-05
262344,7.88E-08,0.330914277,0.001540627,0,0.000135962
262778,2.94E-07,0.297448134,0.000422904,0,6.7981E-05
263290,3.25E-08,0.297408442,0.00041729,0,4.07886E-05
8744,5.38145E-05,0.284981421,0.000153223,0,0.000122366
31008,0,0.2217793,4.07E-07,0,1.35962E-05
39289,5.43907E-05,0.227241831,1.04E-06,0,8.15772E-05
57045,4.77E-06,0.256244099,2.47582E-05,0,8.15772E-05
198932,5.14E-08,0.256235172,2.41888E-05,0,4.07886E-05
201826,2.98669E-05,0.294038867,0.00024093,0,9.51734E-05
206707,5.14E-08,0.256231601,2.41231E-05,0,2.71924E-05
8749,5.54892E-05,0.328430322,0.000615827,0,0.000122366
51501,0,0.247232708,1.64E-06,0,1.35962E-05
201820,0,0.28055065,6.92604E-05,0,2.71924E-05
204898,5.70E-10,0.24723437,1.82E-06,0,2.71924E-05
24695,0,0.252902099,2.14E-06,0,1.35962E-05
25536,0,0.252902099,2.14E-06,0,1.35962E-05
33829,0,0.252902099,2.14E-06,0,1.35962E-05
35222,0,0.254316113,3.76E-06,0,2.71924E-05
35653,0,0.252902099,2.14E-06,0,1.35962E-05
39345,0,0.252902099,2.14E-06,0,1.35962E-05
41461,0,0.254316113,3.76E-06,0,2.71924E-05
42616,0,0.252902099,2.14E-06,0,1.35962E-05
42731,7.57E-08,0.267940736,8.29102E-05,0,5.43848E-05
43040,0,0.252902099,2.14E-06,0,1.35962E-05
44909,0,0.252902099,2.14E-06,0,1.35962E-05
49948,0,0.252902099,2.14E-06,0,1.35962E-05
50322,6.58E-09,0.256680498,4.81E-06,0,2.71924E-05
50637,0,0.252902099,2.14E-06,0,1.35962E-05
59910,0,0.252902099,2.14E-06,0,1.35962E-05
59923,0,0.252902099,2.14E-06,0,1.35962E-05
61954,0,0.252902099,2.14E-06,0,1.35962E-05
62053,1.02E-07,0.268102867,7.07513E-05,0,4.07886E-05
62101,4.63E-08,0.258727434,7.64E-06,0,2.71924E-05
47581,0,0.261251021,4.40363E-05,0,1.35962E-05
60390,0,0.283617658,0.000206361,0,2.71924E-05
198635,2.21E-09,0.269489929,7.98553E-05,0,2.71924E-05
199819,0,0.269487955,7.94718E-05,0,1.35962E-05
209886,0,0.283617658,0.000206361,0,2.71924E-05
211174,0,0.269487955,7.94718E-05,0,1.35962E-05
212629,6.27E-11,0.269558079,9.40952E-05,0,2.71924E-05
5522,0,0.260210291,5.93454E-05,0,1.35962E-05
13260,0,0.260210291,5.93454E-05,0,1.35962E-05
15908,0,0.260210291,5.93454E-05,0,1.35962E-05
21031,0,0.260210291,5.93454E-05,0,1.35962E-05
24984,0,0.271738126,0.000127806,0,2.71924E-05
30775,0,0.260240674,6.42037E-05,0,2.71924E-05
31114,0,0.271738126,0.000127806,0,2.71924E-05
34961,0,0.260210291,5.93454E-05,0,1.35962E-05
39007,0,0.29307109,0.000317983,0,4.07886E-05
41228,0,0.260210291,5.93454E-05,0,1.35962E-05
41506,0,0.260210291,5.93454E-05,0,1.35962E-05
43463,0,0.260240674,6.42037E-05,0,2.71924E-05
43482,6.29E-09,0.269326117,0.000120558,0,2.71924E-05
43811,0.000163423,0.260377025,7.4963E-05,0,0.000149558
47205,0,0.26022318,5.95445E-05,0,2.71924E-05
49602,2.51E-09,0.260214894,6.10176E-05,0,2.71924E-05
50065,0,0.260210291,5.93454E-05,0,1.35962E-05
